datetime,volume,event_category,temperature_c,precipitation_mm,humidity_percent
4/1/2022 1:00,800,normal,11.4,0,79
4/1/2022 2:00,510,normal,11.1,0,71
4/1/2022 3:00,392,normal,10.5,0,68
4/1/2022 4:00,349,normal,10,0,69
4/1/2022 5:00,324,normal,9.1,0,53
4/1/2022 6:00,523,normal,8.3,0,54
4/1/2022 7:00,1176,normal,8.4,0,49
4/1/2022 8:00,1665,normal,8.8,0,46
4/1/2022 9:00,1684,normal,10,0,42
4/1/2022 10:00,1500,normal,11.4,0,39
4/1/2022 11:00,1324,normal,12,0,36
4/1/2022 12:00,1171,normal,13.4,0,38
4/1/2022 13:00,1201,normal,14.1,0,33
4/1/2022 14:00,1130,normal,14.3,0,32
4/1/2022 15:00,1017,normal,14.7,0,32
4/1/2022 16:00,1013,normal,14.2,0,31
4/1/2022 17:00,1130,normal,13.1,0,32
4/1/2022 18:00,1453,normal,12,0,34
4/1/2022 19:00,1839,normal,11,0,38
4/1/2022 20:00,2005,normal,10.2,0,41
4/1/2022 21:00,2066,normal,9.3,0,42
4/1/2022 22:00,1963,normal,8.6,0,44
4/1/2022 23:00,1634,normal,8.1,0,46
4/2/2022 0:00,1210,normal,7.8,0,48
4/2/2022 1:00,872,normal,7.4,0,48
4/2/2022 2:00,564,normal,6.4,0,55
4/2/2022 3:00,387,normal,5,0,65
4/2/2022 4:00,344,normal,4.7,0,67
4/2/2022 5:00,342,normal,4.7,0,69
4/2/2022 6:00,498,normal,4.9,0,64
4/2/2022 7:00,950,normal,5.9,0,60
4/2/2022 8:00,1383,normal,7.3,0,56
4/2/2022 9:00,1639,normal,9.3,0,46
4/2/2022 10:00,1623,normal,10.3,0,45
4/2/2022 11:00,1451,normal,12.1,0,39
4/2/2022 12:00,1310,normal,11.9,0,46
4/2/2022 13:00,1175,normal,12.2,0,47
4/2/2022 14:00,1163,normal,11.9,0,46
4/2/2022 15:00,1073,normal,11.9,0,43
4/2/2022 16:00,998,normal,12.1,0,42
4/2/2022 17:00,1125,normal,11.9,0,43
4/2/2022 18:00,1414,normal,11.7,0,42
4/2/2022 19:00,1736,normal,10.6,0,48
4/2/2022 20:00,1975,normal,9.2,0,58
4/2/2022 21:00,2066,normal,8.6,0,63
4/2/2022 22:00,1961,normal,7.7,0,65
4/2/2022 23:00,1507,normal,7.1,0,64
4/3/2022 0:00,1303,normal,6.5,0,65
4/3/2022 1:00,935,normal,6.4,0,66
4/3/2022 2:00,573,normal,6.3,0,65
4/3/2022 3:00,416,normal,6,0,65
4/3/2022 4:00,349,normal,5.7,0,67
4/3/2022 5:00,325,normal,5.5,0,67
4/3/2022 6:00,421,normal,5.2,0,70
4/3/2022 7:00,736,normal,5.7,0,67
4/3/2022 8:00,1149,normal,7.3,0,62
4/3/2022 9:00,1658,normal,10,0,59
4/3/2022 10:00,1717,normal,12,0,48
4/3/2022 11:00,1447,normal,14.2,0,42
4/3/2022 12:00,1220,normal,15.8,0,46
4/3/2022 13:00,1220,normal,15.9,0,43
4/3/2022 14:00,1073,normal,17.1,0,32
4/3/2022 15:00,1023,normal,17.9,0,30
4/3/2022 16:00,1018,normal,17.5,0,29
4/3/2022 17:00,1185,normal,15.8,0,43
4/3/2022 18:00,1541,normal,14.1,0,47
4/3/2022 19:00,1875,normal,13,0,53
4/3/2022 20:00,2070,normal,12.3,0,63
4/3/2022 21:00,2111,normal,11,0,64
4/3/2022 22:00,1921,normal,10.1,0,64
4/3/2022 23:00,1587,normal,9.8,0,64
4/4/2022 0:00,1187,normal,8.6,0,70
4/4/2022 1:00,755,normal,8.1,0,73
4/4/2022 2:00,493,normal,7.7,0,77
4/4/2022 3:00,343,normal,7.3,0,81
4/4/2022 4:00,289,normal,7.1,0,85
4/4/2022 5:00,331,normal,6.8,0,85
4/4/2022 6:00,517,normal,7,0,86
4/4/2022 7:00,1114,normal,7.8,0,83
4/4/2022 8:00,1770,normal,10,0,77
4/4/2022 9:00,1664,normal,12,0,72
4/4/2022 10:00,1506,normal,13.9,0,66
4/4/2022 11:00,1334,normal,15.4,0,63
4/4/2022 12:00,1186,normal,15.9,0,55
4/4/2022 13:00,1191,normal,16.8,0,46
4/4/2022 14:00,1089,normal,16.8,0,50
4/4/2022 15:00,1013,normal,16,0,57
4/4/2022 16:00,937,normal,15.1,0,58
4/4/2022 17:00,1140,normal,14.2,0,57
4/4/2022 18:00,1433,normal,14.4,0,45
4/4/2022 19:00,1780,normal,13.9,0,44
4/4/2022 20:00,2140,normal,12.2,0,59
4/4/2022 21:00,2200,normal,10.9,0,69
4/4/2022 22:00,2056,normal,10.1,0,70
4/4/2022 23:00,1545,normal,9.9,0,67
4/5/2022 0:00,1171,normal,8.7,0,70
4/5/2022 1:00,778,normal,8.2,0,73
4/5/2022 2:00,484,normal,8.5,0,70
4/5/2022 3:00,356,normal,7.5,0,75
4/5/2022 4:00,298,normal,7.4,0,75
4/5/2022 5:00,384,normal,7,0,77
4/5/2022 6:00,543,normal,6.7,0,77
4/5/2022 7:00,1207,normal,7.7,0,74
4/5/2022 8:00,1693,normal,10.9,0,67
4/5/2022 9:00,1627,normal,13,0,66
4/5/2022 10:00,1476,normal,14.3,0,60
4/5/2022 11:00,1333,normal,15.6,0,56
4/5/2022 12:00,1195,normal,16.7,0,57
4/5/2022 13:00,1186,normal,16.9,0,52
4/5/2022 14:00,1032,normal,16.5,0,49
4/5/2022 15:00,1035,normal,17.1,0,43
4/5/2022 16:00,1032,normal,16.5,0,44
4/5/2022 17:00,1138,normal,16,0,44
4/5/2022 18:00,1456,normal,15.9,0,41
4/5/2022 19:00,1789,normal,15.2,0,41
4/5/2022 20:00,2096,normal,14.3,0,55
4/5/2022 21:00,2231,normal,13.9,0,58
4/5/2022 22:00,2122,normal,13.7,0,47
4/5/2022 23:00,1601,normal,13.4,0,43
4/6/2022 0:00,1194,normal,13.2,0,45
4/6/2022 1:00,766,normal,12.2,0,48
4/6/2022 2:00,491,normal,12,0,50
4/6/2022 3:00,370,normal,11,0,55
4/6/2022 4:00,348,normal,11.1,0,57
4/6/2022 5:00,365,normal,10.8,0,58
4/6/2022 6:00,533,normal,10.5,0,61
4/6/2022 7:00,1185,normal,10.7,0,62
4/6/2022 8:00,1737,normal,12.6,0,60
4/6/2022 9:00,1616,normal,16.3,0,49
4/6/2022 10:00,1561,normal,17,0,41
4/6/2022 11:00,1401,normal,18.4,0,38
4/6/2022 12:00,1157,normal,18,0,46
4/6/2022 13:00,1089,normal,16.9,0,49
4/6/2022 14:00,1056,normal,17.8,0,41
4/6/2022 15:00,1003,normal,18.3,0,28
4/6/2022 16:00,991,normal,18.1,0,28
4/6/2022 17:00,1166,normal,18.2,0,20
4/6/2022 18:00,1456,normal,18.3,0,23
4/6/2022 19:00,1886,normal,17,0,29
4/6/2022 20:00,2168,normal,15.5,0,34
4/6/2022 21:00,2246,normal,13.9,0,40
4/6/2022 22:00,1967,normal,13.2,0,44
4/6/2022 23:00,1581,normal,12.9,0,46
4/7/2022 0:00,1206,normal,12,0,49
4/7/2022 1:00,802,normal,11.6,0,52
4/7/2022 2:00,527,normal,10.9,0,57
4/7/2022 3:00,392,normal,10.8,0,58
4/7/2022 4:00,333,normal,10.3,0,61
